customer_id,first_name,last_name,active,address,district,city,country
547,Kurt,Emmons,1,1421 Quilmes Lane,Ishikawa,Kanazawa,Japan
334,Raymond,Mcwhorter,1,503 Sogamoso Loop,Sumqayit,Sumqayit,Azerbaijan
294,Shelly,Watts,1,32 Pudukkottai Lane,Ohio,Dayton,United States
161,Geraldine,Perkins,1,97 Shimoga Avenue,Tel Aviv,Tel Aviv-Jaffa,Israel
470,Gordon,Allard,1,434 Ourense (Orense) Manor,Hodeida,Hodeida,Yemen
493,Brent,Harkins,1,319 Plock Parkway,Istanbul,Sultanbeyli,Turkey
400,Bryan,Hardison,1,530 Lausanne Lane,Texas,Dallas,United States
62,Joan,Cooper,1,1717 Guadalajara Lane,Missouri,Saint Louis,United States
128,Marjorie,Tucker,1,1050 Garden Grove Avenue,Slaskie,Jastrzebie-Zdrj,Poland
559,Everett,Banda,1,1741 Hoshiarpur Boulevard,al-Sharqiya,Bilbays,Egypt
492,Lester,Kraus,1,1013 Tabuk Boulevard,West Bengali,Kanchrapara,India
23,Sarah,Lewis,1,1780 Hino Boulevard,Liepaja,Liepaja,Latvia
337,Jerry,Jordon,1,124 al-Manama Way,Hiroshima,Onomichi,Japan
35,Virginia,Green,1,391 Callao Drive,Midi-Pyrnes,Toulouse,France
321,Kevin,Schuler,1,470 Boksburg Street,Central,Birgunj,Nepal
177,Samantha,Duncan,1,146 Johannesburg Way,Tamaulipas,Matamoros,Mexico
412,Allen,Butterfield,1,791 Salinas Street,Punjab,Hoshiarpur,India
221,Bessie,Morrison,1,1926 Gingoog Street,Sisilia,Syrakusa,Italy
519,Ron,Deluca,1,1949 Sanya Street,Gumma,Isesaki,Japan
450,Jay,Robb,1,1947 Paarl Way,Central Java,Surakarta,Indonesia
290,Kristina,Chambers,1,544 Tarsus Boulevard,Gurico,Valle de la Pascua,Venezuela
433,Don,Bone,1,596 Huixquilucan Place,Nampula,Naala-Porto,Mozambique
145,Lucille,Holmes,1,999 Sanaa Loop,Gauteng,Soshanguve,South Africa
52,Julie,Sanchez,1,939 Probolinggo Loop,Galicia,A Corua (La Corua),Spain
105,Dawn,Sullivan,1,454 Nakhon Sawan Boulevard,Funafuti,Funafuti,Tuvalu
373,Louis,Leone,1,1191 Tandil Drive,Southern Tagalog,Tanauan,Philippines
527,Cory,Meehan,1,556 Asuncin Way,Mogiljov,Mogiljov,Belarus
404,Stanley,Scroggins,1,1266 Laredo Parkway,Saitama,Omiya,Japan
137,Rhonda,Kennedy,1,1749 Daxian Place,Gelderland,Apeldoorn,Netherlands
431,Joel,Francisco,1,287 Cuautla Boulevard,Chuquisaca,Sucre,Bolivia
271,Penny,Neal,0,1675 Xiangfan Manor,Tamil Nadu,Kumbakonam,India
498,Gene,Sanborn,1,1416 San Juan Bautista Tuxtepec Avenue,Zufar,Salala,Oman
76,Irene,Price,1,602 Paarl Street,Pavlodar,Pavlodar,Kazakstan
88,Bonnie,Hughes,1,1942 Ciparay Parkway,Cheju,Cheju,South Korea
565,Jaime,Nettles,1,1746 Faaa Way,Huanuco,Hunuco,Peru
298,Erika,Pena,1,898 Jining Lane,Pohjois-Pohjanmaa,Oulu,Finland
407,Dale,Ratcliff,1,1639 Saarbrcken Drive,North West,Rustenburg,South Africa
401,Tony,Carranza,1,454 Patiala Lane,Fukushima,Koriyama,Japan
414,Vincent,Ralston,1,397 Sunnyvale Avenue,Guanajuato,Allende,Mexico
118,Kim,Cruz,1,333 Goinia Way,Texas,Grand Prairie,United States
348,Roger,Quintanilla,1,381 Kabul Way,Taipei,Hsichuh,Taiwan
486,Glen,Talbert,1,1789 Saint-Denis Parkway,Coahuila de Zaragoza,Acua,Mexico
75,Tammy,Sanders,1,1551 Rampur Lane,Changhwa,Changhwa,Taiwan
455,Jon,Wiles,1,659 Gatineau Boulevard,La Paz,El Alto,Bolivia
558,Jimmie,Eggleston,0,505 Madiun Boulevard,Dolnoslaskie,Wroclaw,Poland
371,Billy,Poulin,1,1061 Ede Avenue,Southern Tagalog,Cabuyao,Philippines
318,Brian,Wyman,1,1769 Iwaki Lane,Kujawsko-Pomorskie,Bydgoszcz,Poland
410,Curtis,Irby,1,432 Garden Grove Street,Ontario,Richmond Hill,Canada
405,Leonard,Schofield,1,88 Nagaon Manor,Buenos Aires,Tandil,Argentina
365,Bruce,Schwarz,1,1565 Tangail Manor,Okinawa,Okinawa,Japan
596,Enrique,Forsythe,1,1101 Bucuresti Boulevard,West Greece,Patras,Greece
230,Joy,George,1,1256 Bislig Boulevard,Botosani,Botosani,Romania
279,Dianne,Shelton,1,600 Bradford Street,East Azerbaidzan,Tabriz,Iran
305,Richard,Mccrary,1,913 Coacalco de Berriozbal Loop,Texas,Arlington,United States
136,Anita,Morales,1,788 Atinsk Street,Karnataka,Hubli-Dharwad,India
443,Francisco,Skidmore,1,614 Denizli Parkway,Rio Grande do Sul,So Leopoldo,Brazil
84,Sara,Perry,1,125 Citt del Vaticano Boulevard,Puebla,Atlixco,Mexico
154,Michele,Grant,1,798 Cianjur Avenue,Shanxi,Yuncheng,China
170,Beatrice,Arnold,1,1877 Ezhou Lane,Rajasthan,Udaipur,India
456,Ronnie,Ricketts,1,1889 Valparai Way,Ziguinchor,Ziguinchor,Senegal
